"","volatile.acidity","citric.acid","sulphates","alcohol","quality"
"544",0.66,0.24,0.72,11,"6"
"545",0.31,0.74,0.79,8.4,"6"
"546",0.47,0.49,0.59,9.1,"5"
"547",0.55,0.24,0.78,9.5,"6"
"548",0.31,0.49,0.86,10.7,"6"
"549",0.35,0.49,0.75,10.4,"6"
"550",0.53,0.49,0.61,9.4,"6"
"551",0.51,0.01,0.56,9.5,"6"
"552",0.43,0.24,0.73,10,"6"
"553",0.46,0.24,0.74,10,"6"
"554",1.04,0.24,0.62,11.5,"5"
"555",0.645,0.49,0.74,11.1,"5"
"556",0.645,0.49,0.74,11.1,"5"
"557",0.53,0.49,0.56,11.7,"6"
"558",0.645,0.49,0.74,11.1,"5"
"559",0.53,0.49,0.56,11.7,"6"
"560",0.47,0.49,0.68,12.7,"6"
"561",0.6,0.49,0.57,11.4,"5"
"562",0.44,0.49,0.58,9.2,"5"
"563",0.54,0.49,0.61,9.2,"5"
"564",0.29,0.49,0.61,10.1,"6"
"565",0.47,0.49,0.68,12.7,"6"
"566",0.6,0.49,0.57,11.4,"5"
"567",0.7,0.24,0.6,9,"6"
"568",0.7,0.24,0.6,9,"6"
"569",0.5,0.49,0.79,10.7,"6"
"570",0.36,0.24,0.57,11.7,"6"
"571",0.35,0.49,0.91,11,"6"
"572",0.36,0.24,0.57,11.7,"6"
"573",0.24,0.49,0.61,10.4,"5"
"574",0.59,0.49,0.56,9.6,"4"
"575",0.34,0.49,0.7,10,"6"
"576",0.27,0.49,0.8,10.2,"6"
"577",0.5,0.24,0.52,10,"4"
"578",0.44,0.49,0.6,9.5,"5"
"579",0.47,0.49,0.6,9.8,"5"
"580",0.31,0.49,0.51,9.8,"6"
"581",0.5,0.49,0.44,9.6,"5"
"582",0.5,0.49,0.44,9.6,"5"
"583",0.49,0.49,0.43,9.2,"5"
"584",0.28,0.49,0.66,9.9,"7"
"585",0.33,0.49,0.76,10.7,"7"
"586",0.51,0.24,0.66,9.6,"6"
"587",0.31,0.49,1.02,10.6,"7"
"588",0.73,0.24,0.59,9.3,"5"
"589",0.42,0.24,0.74,14,"8"
"590",0.29,0.49,0.74,10.5,"7"
"591",0.45,0.49,0.57,9.7,"5"
"592",0.39,0.49,0.5,11.5,"6"
"593",0.45,0.49,0.57,9.7,"5"
"594",0.49,0.58,0.58,9,"5"
"595",0.72,0.17,0.53,9.5,"5"
"596",0.595,0.41,0.57,9.3,"5"
"597",0.4,0.51,0.6,9.3,"6"
"598",0.58,0.58,0.63,10,"6"
"599",0.585,0.18,0.48,9.8,"6"
"600",0.59,0.45,0.7,9.3,"6"
"601",0.915,0.27,0.47,10,"4"
"602",0.46,0.52,0.56,9,"6"
"603",0.835,0,0.52,9.3,"5"
"604",0.46,0.52,0.56,9,"6"
"605",0.58,0.13,0.62,9.1,"6"
"606",0.6,0.13,0.59,9.2,"6"
"607",0.41,0.48,0.79,12.2,"7"
"608",0.48,0.41,0.53,10.5,"6"
"609",0.65,0.37,0.64,10.4,"6"
"610",0.36,0.19,0.52,12.7,"6"
"611",0.24,0.54,0.54,9.2,"5"
"612",0.38,0.55,0.54,9.4,"5"
"613",0.64,0,0.6,10,"6"
"614",0.39,0.38,0.74,9.8,"5"
"615",0.755,0.18,1.36,10.2,"6"
"616",0.6,0.5,0.57,9.7,"5"
"617",0.6,0.5,0.57,9.7,"5"
"618",0.31,0.51,0.93,9.8,"6"
"619",0.46,0.5,0.7,10.2,"5"
"620",0.37,0.41,0.8,9.3,"5"
"621",0.54,0.24,0.61,9.4,"5"
"622",0.56,0.23,0.62,9.4,"5"
"623",0.58,0.22,0.55,9.5,"5"
"624",0.51,0.25,0.96,12.1,"6"
"625",0.69,0,0.72,10.2,"5"
"626",0.69,0,0.72,10.2,"5"
"627",0.6,0.29,0.49,9.1,"5"
"628",0.6,0.29,0.49,9.1,"5"
"629",0.54,0.26,0.6,9.3,"6"
"630",0.685,0.23,0.61,9.3,"5"
"631",0.54,0.26,0.6,9.3,"6"
"632",0.28,0.54,0.63,9.5,"5"
"633",0.41,0.14,0.57,10.5,"6"
"634",0.935,0.22,0.64,11.3,"4"
"635",0.35,0.21,0.58,9.5,"5"
"636",0.84,0,0.55,9.7,"5"
"637",0.88,0.28,0.53,9.4,"5"
"638",0.885,0.27,0.53,9.4,"5"
"639",0.915,0.12,0.65,10.2,"7"
"640",0.29,0.35,1.36,10.3,"6"
"641",0.54,0.45,0.62,9.4,"5"
"642",0.59,0.44,0.63,9.5,"5"
"643",0.54,0.45,0.62,9.4,"5"
"644",0.59,0.44,0.63,9.5,"5"
"645",0.54,0.45,0.62,9.4,"5"
"646",0.64,0.1,0.69,10.1,"7"
"647",0.67,0.05,0.63,10.1,"5"
"648",0.845,0.01,0.58,11,"4"
"649",0.48,0.3,0.67,11.2,"7"
"650",0.42,0.27,0.57,11.3,"6"
"651",0.43,0.39,0.5,9.6,"5"
"652",0.88,0.25,0.67,11.2,"5"
"653",0.36,0.65,0.84,14.9,"5"
"654",0.33,0.59,0.54,12,"6"
"655",0.47,0.47,0.46,9.5,"5"
"656",0.55,0.17,0.61,9.4,"5"
"657",0.43,0.39,0.5,9.6,"5"
"658",0.5,0.59,0.68,10.5,"7"
"659",0.52,0.07,0.81,9.6,"6"
"660",0.84,0.02,0.57,11,"4"
"661",0.52,0.07,0.81,9.6,"6"
"662",0.42,0.31,0.64,9,"5"
"663",0.57,0.06,0.7,9.6,"6"
"664",0.28,0.46,0.79,10.2,"6"
"665",0.4,0.52,0.66,10.2,"5"
"666",0.59,0.14,0.56,9.7,"5"
"667",0.49,0.36,0.6,9.5,"6"
"668",0.34,0.45,0.66,9.2,"6"
"669",0.73,0.43,0.57,11,"5"
"670",0.34,0.45,0.66,9.2,"6"
"671",0.4,0.24,0.58,10,"5"
"672",0.73,0.21,0.52,9.5,"5"
"673",1.24,0.34,0.53,9.5,"5"
"674",0.73,0.21,0.52,9.5,"5"
"675",0.4,0.41,0.67,9.3,"6"
"676",0.41,0.39,0.65,10.2,"5"
"677",0.4,0.41,0.67,9.3,"6"
"678",0.8,0.11,0.48,9.9,"5"
"679",0.78,0.1,0.53,10,"5"
"680",0.26,0.45,0.54,9.6,"5"
"681",0.43,0.58,0.49,9,"5"
"682",0.45,0.23,0.49,10.2,"6"
"683",0.46,0.31,0.54,9.8,"5"
"684",0.78,0.23,0.56,11.3,"5"
"685",0.98,0.32,0.48,9.4,"5"
"686",0.78,0.23,0.56,11.3,"5"
"687",0.65,0.18,0.6,9.1,"5"
"688",0.64,0.23,0.59,9.7,"5"
"689",0.66,0.04,0.47,9.4,"5"
"690",0.38,0.48,1.05,9.4,"5"
"691",1.185,0,0.54,10.7,"3"
"692",0.92,0.24,0.54,9.8,"5"
"693",0.49,0.51,1.17,9,"5"
"694",0.48,0.32,0.62,9.4,"5"
"695",0.47,0.31,0.61,9.4,"5"
"696",0.47,0.02,0.62,12.8,"6"
"697",0.65,0.02,0.67,9.5,"6"
"698",0.65,0.02,0.67,9.5,"6"
"699",0.615,0.28,0.53,9.7,"5"
"700",0.38,0.55,0.62,10.8,"6"
"701",1.02,0.43,0.57,10.1,"6"
"702",0.65,0.02,0.67,9.5,"6"
"703",0.64,0.02,0.67,9.4,"6"
"704",0.38,0.48,0.7,9.6,"4"
"705",0.765,0.04,0.54,9.7,"4"
"706",1.035,0.15,0.49,9.9,"5"
"707",0.78,0.08,0.47,10,"5"
"708",0.49,0.19,0.51,10.5,"5"
"709",0.545,0.12,0.61,11.6,"6"
"710",0.31,0.47,0.66,10,"6"
"711",1.025,0.43,0.57,10.1,"5"
"712",0.565,0.34,0.61,9.5,"5"
"713",0.69,0,0.45,9.4,"5"
"714",0.43,0.36,0.46,9.4,"5"
"715",0.74,0.28,0.51,9.8,"5"
"716",0.49,0.18,0.48,9.2,"6"
"717",0.43,0.36,0.46,9.4,"5"
"718",0.46,0.11,0.57,10,"5"
"719",0.56,0.04,0.44,9.6,"5"
"720",0.66,0,0.54,9.5,"5"
"721",0.56,0.04,0.44,9.6,"5"
"722",0.48,0.24,0.53,9.2,"5"
"723",0.42,0.08,0.59,10,"5"
"724",0.31,0.3,1.62,9.5,"5"
"725",1.115,0.1,0.6,11.2,"4"
"726",0.66,0.17,0.55,10.4,"5"
"727",0.72,0.09,0.72,11.1,"6"
"728",0.57,0.02,0.68,9.5,"5"
"729",0.57,0.02,0.68,9.5,"5"
"730",0.865,0.03,0.49,12.7,"6"
"731",0.55,0.66,0.67,9.6,"5"
"732",0.875,0.13,0.52,11.5,"5"
"733",0.835,0.03,0.47,9.6,"5"
"734",0.45,0.34,0.6,9.5,"5"
"735",0.56,0.2,0.62,9.3,"5"
"736",0.965,0.1,0.5,9.5,"5"
"737",0.965,0.1,0.5,9.5,"5"
"738",0.59,0,0.65,9.3,"6"
"739",0.46,0.23,0.56,9.2,"5"
"740",0.69,0,0.6,9.3,"5"
"741",0.76,0.29,0.68,11.5,"6"
"742",0.53,0.24,0.57,9.5,"5"
"743",0.615,0,0.65,9.2,"5"
"744",0.41,0.58,0.53,10,"5"
"745",0.39,0.54,0.51,9.5,"5"
"746",0.51,0.18,0.73,9.5,"6"
"747",0.34,0.38,0.47,9,"6"
"748",0.33,0.4,0.48,9.4,"5"
"749",0.5,0.18,0.72,9.6,"6"
"750",0.51,0.18,0.73,9.5,"6"
"751",0.65,0.1,0.55,9.5,"5"
"752",0.65,0.1,0.55,9.5,"5"
"753",0.54,0.13,0.61,9.4,"5"
"754",0.65,0.1,0.55,9.5,"5"
"755",0.48,0.68,1.06,9.1,"6"
"756",0.91,0.07,0.43,10.7,"6"
"757",0.98,0.01,0.46,11.2,"6"
"758",0.87,0,0.5,9.8,"5"
"759",0.87,0,0.5,9.8,"5"
"760",0.42,0.21,0.52,9.2,"5"
"761",0.58,0.25,0.57,9.7,"5"
"762",0.655,0.26,0.42,9.6,"5"
"763",0.7,0,0.53,10,"6"
"764",0.655,0.26,0.42,9.6,"5"
"765",0.68,0.11,0.55,9.5,"6"
"766",0.67,0.1,0.54,9.5,"6"
"767",0.59,0.18,0.54,9.4,"5"
"768",0.6,0.32,0.62,9.5,"5"
"769",0.59,0.02,0.53,9.7,"6"
"770",0.72,0.01,0.54,9.6,"5"
"771",0.59,0.02,0.53,9.7,"6"
"772",0.685,0.26,0.55,9.4,"5"
"773",0.57,0.27,0.55,9.4,"5"
"774",0.4,0.29,0.92,9.5,"6"
"775",0.4,0.3,0.91,9.5,"6"
"776",1,0,0.46,10,"5"
"777",0.765,0.18,0.6,10.3,"6"
"778",0.635,0.17,0.59,10.3,"6"
"779",0.43,0.3,0.61,10.5,"5"
"780",0.52,0.03,0.6,9.8,"5"
"781",0.57,0,0.6,9.4,"6"
"782",0.46,0.14,0.65,9.8,"5"
"783",0.82,0.05,0.53,10,"5"
"784",0.46,0.14,0.65,9.8,"5"
"785",0.59,0.01,0.59,9.8,"5"
"786",0.35,0.41,0.5,9.5,"5"
"787",0.35,0.41,0.5,9.5,"5"
"788",0.56,0.24,0.56,10.1,"6"
"789",0.56,0.24,0.56,10.1,"6"
"790",0.63,0.17,0.52,9.3,"5"
"791",0.37,0.43,0.68,9.7,"6"
"792",0.64,0.17,0.54,9.6,"5"
"793",0.61,0.02,0.6,9.7,"6"
"794",0.6,0,0.56,10.8,"5"
"795",0.27,0.54,0.53,12.5,"6"
"796",0.89,0.3,1.18,10.2,"5"
"797",0.46,0.31,0.74,9.6,"5"
"798",0.37,0.44,0.81,10.8,"7"
"799",0.5,0.34,0.52,10.7,"6"
"800",0.5,0.34,0.52,10.7,"6"
"801",0.61,0.08,0.51,9.4,"5"
"802",0.55,0.09,0.44,10,"5"
"803",0.585,0,0.94,12.9,"7"
"804",0.56,0.08,0.66,9.6,"6"
"805",0.52,0.22,0.57,9.9,"6"
"806",0.28,0.4,0.7,12.8,"7"
"807",0.25,0.39,0.71,12.5,"7"
"808",0.28,0.4,0.7,12.8,"7"
"809",0.53,0.12,0.86,9.2,"5"
"810",0.48,0.31,0.55,10.3,"6"
"811",0.49,0.1,0.47,10.5,"5"
"812",0.5,0.55,0.68,10.9,"6"
"813",0.45,0.33,0.71,10.8,"5"
"814",0.39,0.24,0.58,11.4,"4"
"815",0.41,0.54,0.76,11.3,"6"
"816",0.45,0.33,0.71,10.8,"5"
"817",0.51,0.19,0.58,10.5,"6"
"818",0.29,0.42,0.73,11.9,"6"
"819",0.715,0,0.45,9.4,"5"
"820",0.66,0.15,0.54,9.6,"5"
"821",0.685,0,0.6,9.7,"5"
"822",0.42,0,0.74,14,"7"
"823",0.54,0.13,0.64,9.8,"5"
"824",0.54,0.13,0.64,9.8,"5"
"825",0.48,0.28,0.53,10.3,"5"
"826",0.46,0.14,0.49,10.7,"5"
"827",0.27,0.34,0.64,11,"7"
"828",0.46,0.14,0.49,10.7,"5"
"829",0.57,0.09,0.74,12.7,"8"
"830",0.61,0.08,0.77,11.1,"6"
"831",0.685,0.07,0.55,10.9,"4"
"832",0.61,0.08,0.77,11.1,"6"
"833",0.44,0.42,0.86,9.9,"3"
"834",0.47,0.44,0.86,9.9,"4"
"835",0.685,0.26,0.47,9.4,"5"
"836",0.665,0.1,0.51,9.3,"5"
"837",0.28,0.28,0.39,11.7,"7"
"838",0.28,0.28,0.39,11.7,"7"
"839",0.31,0.35,0.83,11.2,"7"
"840",0.5,0.04,0.47,10,"5"
"841",0.42,0.47,0.77,12.1,"7"
"842",0.66,0,0.63,10.3,"5"
"843",0.5,0.45,0.72,10.9,"6"
"844",0.685,0.35,0.62,9.4,"5"
"845",0.25,0.46,0.83,10.6,"6"
"846",0.64,0.21,0.66,9.8,"5"
"847",0.64,0.21,0.66,9.8,"5"
"848",0.68,0.16,0.7,9.9,"6"
"849",0.64,0.21,0.66,9.8,"5"
"850",0.63,0.21,0.66,9.8,"5"
"851",0.43,0.44,0.55,9.5,"5"
"852",0.43,0.44,0.55,9.5,"5"
"853",0.42,0.32,1.07,9.7,"5"
"854",0.36,0.39,0.73,10.9,"6"
"855",0.36,0.39,0.73,10.9,"6"
"856",0.735,0.02,0.71,11.7,"7"
"857",0.36,0.39,0.73,10.9,"6"
"858",0.26,0.34,0.78,11.3,"7"
"859",0.28,0.47,0.67,10.6,"7"
"860",0.56,0.22,0.82,11.2,"6"
"861",0.62,0.06,0.54,9.5,"5"
"862",1.01,0.66,0.6,11.5,"6"
"863",0.42,0.32,0.44,10.4,"5"
"864",0.62,0.06,0.53,9.7,"5"
"865",0.62,0.06,0.54,9.5,"5"
"866",0.635,0.07,0.54,9.7,"5"
"867",0.49,0.22,0.83,11.3,"6"
"868",0.51,0.23,0.84,11.2,"6"
"869",0.56,0.22,0.82,11.2,"6"
"870",0.63,0.03,0.64,10.9,"6"
"871",0.715,0.01,0.57,11.8,"6"
"872",0.56,0.03,0.57,10.6,"5"
"873",0.35,0.24,0.54,10,"4"
"874",0.21,0.37,0.58,11.1,"7"
"875",0.38,0.46,0.65,11.8,"7"
"876",0.31,0.4,0.79,11.8,"7"
"877",0.47,0,0.58,10.9,"4"
"878",0.715,0.01,0.57,11.8,"6"
"879",0.61,0.19,0.5,10,"6"
"880",0.6,0.04,0.55,9.5,"5"
"881",0.56,0.18,0.49,9.9,"5"
"882",0.715,0,0.65,11.4,"6"
"883",0.31,0.29,0.78,12,"6"
"884",0.6,0.04,0.55,9.5,"5"
"885",0.61,0.19,0.5,10,"6"
"886",0.75,0.14,0.64,10.5,"5"
"887",0.8,0.12,0.65,10.4,"6"
"888",0.52,0.38,0.79,12.1,"7"
"889",0.57,0,0.56,11.2,"6"
"890",0.9,0.34,0.68,9.3,"5"
"891",0.34,0.24,0.58,10.1,"5"
"892",0.66,0.03,0.57,9.7,"5"
"893",0.45,0.23,0.65,9.3,"6"
"894",0.66,0.03,0.57,9.7,"5"
"895",0.63,0.03,0.58,9.8,"6"
"896",0.59,0.01,0.58,10.7,"6"
"897",0.31,0.39,0.77,12.5,"7"
"898",0.59,0.01,0.58,10.7,"6"
"899",0.31,0.39,0.77,12.5,"7"
"900",1.02,0.02,0.49,11,"3"
"901",0.31,0.36,0.69,11.8,"5"
"902",0.635,0.1,0.69,10.8,"7"
"903",0.635,0.1,0.69,10.8,"7"
"904",0.59,0.06,0.59,10.8,"7"
"905",0.59,0.06,0.59,10.8,"7"
"906",0.58,0.2,0.59,9.5,"5"
"907",0.54,0.27,0.71,11,"5"
"908",0.56,0,0.54,11.5,"6"
"909",0.52,0.13,0.59,10.8,"6"
"910",0.305,0.39,0.52,11.5,"6"
"911",0.38,0.48,0.57,13.2,"6"
"912",0.28,0.46,0.6,10.9,"6"
"913",0.46,0.44,0.62,12.2,"6"
"914",0.395,0.46,0.64,12.2,"7"
"915",0.305,0.39,0.52,11.5,"6"
"916",0.315,0.4,0.67,11.9,"6"
"917",0.715,0.19,0.61,11,"5"
"918",0.41,0.31,0.64,10.1,"6"
"919",0.36,0.32,0.72,11,"6"
"920",0.62,0.12,0.89,11.8,"6"
"921",0.41,0.37,0.56,10.5,"5"
"922",0.36,0.32,0.72,11,"6"
"923",0.62,0.12,0.89,11.8,"6"
"924",0.41,0.31,0.64,10.1,"6"
"925",0.47,0.27,0.8,11.2,"5"
"926",0.22,0.36,0.87,11,"7"
"927",0.24,0.33,0.9,10.2,"6"
"928",0.67,0.19,0.59,9.2,"4"
"929",0.47,0.27,0.8,11.2,"5"
"930",0.33,0.38,0.73,12,"7"
"931",0.61,0.01,0.73,10.5,"5"
"932",0.61,0.01,0.65,9.8,"5"
"933",0.4,0.29,0.59,9.5,"6"
"934",0.61,0.01,0.65,9.8,"5"
"935",0.61,0.01,0.73,10.5,"5"
"936",0.3,0.38,0.72,11.8,"6"
"937",0.3,0.38,0.72,11.8,"6"
"938",0.63,0.5,0.6,10.4,"4"
"939",0.38,0.38,0.72,12.9,"7"
"940",0.46,0.17,0.54,11.4,"5"
"941",0.33,0.52,0.76,12.4,"7"
"942",0.27,0.49,0.52,12.5,"7"
"943",0.43,0.4,0.64,10,"7"
"944",0.5,0.34,0.6,9.7,"7"
"945",0.3,0.49,0.64,12.1,"7"
"946",0.44,0.42,0.79,11.1,"7"
"947",0.44,0.58,0.99,12,"7"
"948",0.28,0.48,0.62,12.4,"7"
"949",0.12,0.45,0.76,11.9,"7"
"950",0.12,0.45,0.76,11.9,"7"
"951",0.12,0.45,0.76,11.9,"7"
"952",0.28,0.48,0.62,12.4,"7"
"953",0.31,0.4,0.68,11.2,"7"
"954",0.34,0.48,0.69,12.1,"7"
"955",0.43,0.4,0.54,12.2,"6"
"956",0.21,0.52,0.67,10.4,"5"
"957",0.36,0.52,0.62,11.3,"6"
"958",0.37,0.52,0.58,11.1,"6"
"959",0.57,0.12,0.71,11.3,"7"
"960",0.59,0.05,0.61,10,"5"
"961",0.47,0.27,0.85,11.1,"6"
"962",0.56,0.14,0.62,9.3,"5"
"963",0.57,0.02,0.69,9.5,"5"
"964",0.27,0.39,0.69,11.2,"6"
"965",0.47,0.27,0.85,11.1,"6"
"966",0.34,0.4,0.86,11,"6"
"967",0.38,0.41,0.58,11.9,"7"
"968",0.66,0.2,0.48,9.2,"5"
"969",0.4,0.43,0.6,12.2,"6"
"970",0.56,0.09,0.61,10.2,"5"
"971",0.26,0.48,0.87,10.9,"6"
"972",0.26,0.48,0.87,10.9,"6"
"973",0.38,0.5,0.65,11.6,"7"
"974",0.34,0.44,0.63,10.7,"5"
"975",0.33,0.41,0.62,12.1,"7"
"976",0.41,0.3,0.52,9.4,"5"
"977",0.41,0.3,0.52,9.4,"5"
"978",0.59,0.29,0.5,9.1,"5"
"979",0.4,0.32,0.49,11.3,"7"
"980",0.45,0.49,0.63,10.4,"5"
"981",0.5,0.3,0.71,10.5,"6"
"982",0.86,0.26,0.62,10,"5"
"983",0.52,0.32,0.82,12.9,"6"
"984",0.5,0.3,0.71,10.5,"6"
"985",0.45,0.49,0.63,10.4,"5"
"986",0.58,0,0.58,11.3,"6"
"987",0.34,0.39,0.55,11.4,"7"
"988",0.36,0.3,0.5,9.4,"5"
"989",0.39,0.12,0.49,9.4,"5"
"990",0.295,0.4,0.51,10.9,"6"
"991",0.39,0.12,0.49,9.4,"5"
"992",0.34,0.28,0.48,9.4,"5"
"993",0.4,0.1,0.48,9.4,"6"
"994",0.34,0.28,0.48,9.4,"5"
"995",0.35,0.45,0.43,9.4,"5"
"996",0.6,0.06,0.62,10.1,"6"
"997",0.66,0,0.63,12.8,"7"
"998",0.66,0,0.63,12.8,"7"
"999",0.84,0.34,0.48,9.1,"6"
"1000",0.69,0,0.53,12.9,"6"
"1001",0.43,0.3,0.72,11.5,"7"
"1002",0.35,0.38,0.82,10.6,"7"
"1003",0.29,0.33,0.84,11.7,"7"
"1004",0.36,0.32,0.55,12.8,"7"
"1005",0.43,0.29,0.54,10.3,"5"
"1006",0.36,0.32,0.55,12.8,"7"
"1007",0.29,0.33,0.84,11.7,"7"
"1008",0.3,0.34,0.84,11.7,"7"
"1009",0.35,0.4,0.7,12,"7"
"1010",0.5,0.36,0.68,10.9,"5"
"1011",0.28,0.45,0.55,12.3,"7"
"1012",0.32,0.31,0.55,10.4,"6"
"1013",1.005,0.15,0.48,10,"5"
"1014",0.71,0,0.58,10,"6"
"1015",0.58,0.16,0.58,11.2,"6"
"1016",0.39,0.46,0.84,11.4,"6"
"1017",0.38,0.4,0.75,12.6,"7"
"1018",0.18,0.37,0.44,12.7,"6"
"1019",0.18,0.37,0.44,12.7,"6"
"1020",0.5,0.14,0.61,10.4,"5"
"1021",0.36,0.66,0.53,11.9,"6"
"1022",0.36,0.66,0.53,11.9,"6"
"1023",0.51,0.09,0.54,10.5,"5"
"1024",0.32,0.42,0.55,12.3,"6"
"1025",0.58,0.01,0.56,10.5,"7"
"1026",0.83,0,0.6,10.4,"6"
"1027",0.31,0.32,0.56,12.6,"6"
"1028",0.795,0,0.52,11.6,"5"
"1029",0.34,0.21,0.54,10.1,"6"
"1030",0.58,0.01,0.56,10.5,"7"
"1031",0.59,0,0.55,11.5,"7"
"1032",0.55,0.01,0.58,11,"7"
"1033",0.82,0,0.53,9.6,"5"
"1034",0.57,0.08,0.59,10.4,"6"
"1035",0.745,0.18,0.47,9.7,"6"
"1036",0.37,0.34,0.65,10.6,"7"
"1037",0.31,0.34,0.59,12.5,"7"
"1038",0.91,0.1,0.56,9.2,"5"
"1039",0.41,0.41,0.77,12.6,"7"
"1040",0.5,0.21,0.83,11.1,"6"
"1041",0.965,0,0.67,10.2,"5"
"1042",0.49,0.19,0.64,9.8,"6"
"1043",0.5,0.21,0.83,11.1,"6"
"1044",0.39,0.41,0.81,10.9,"7"
"1045",0.39,0.33,0.62,12.2,"6"
"1046",0.44,0,0.58,11.4,"6"
"1047",0.78,0,0.62,10.7,"6"
"1048",0.43,0.17,0.64,10.4,"5"
"1049",0.49,0.36,0.78,10.9,"6"
"1050",0.5,0.36,0.77,10.8,"6"
"1051",0.43,0.17,0.64,10.4,"5"
"1052",0.46,0.59,1.34,9.2,"5"
"1053",0.605,0.05,0.55,12.9,"5"
"1054",0.33,0.42,0.77,12.7,"7"
"1055",0.64,0.27,0.62,9.1,"6"
"1056",0.64,0.27,0.62,9.1,"6"
"1057",0.48,0.53,0.59,12.1,"7"
"1058",0.42,0.25,0.57,9.1,"5"
"1059",0.53,0.57,0.76,11.6,"7"
"1060",0.48,0.53,0.59,12.1,"7"
"1061",0.23,0.57,0.7,9.9,"6"
"1062",0.4,0.5,0.69,12.5,"8"
"1063",0.38,0.44,0.64,11.4,"6"
"1064",0.29,0.65,0.63,11.8,"6"
"1065",0.74,0.09,0.57,11.8,"6"
"1066",0.61,0.18,0.6,10.2,"6"
"1067",0.52,0.08,0.72,12.5,"7"
"1068",0.31,0.53,0.83,10.9,"7"
"1069",0.31,0.53,0.83,10.9,"7"
"1070",0.62,0.35,0.62,10.8,"5"
"1071",0.33,0.45,0.89,11.1,"7"
"1072",0.77,0.2,0.58,9.2,"5"
"1073",0.35,0.26,0.58,9.5,"6"
"1074",0.62,0.33,0.58,10.7,"6"
"1075",0.77,0.2,0.58,9.2,"5"
"1076",0.25,0.34,0.86,10.2,"7"
"1077",0.32,0.56,0.73,11.4,"6"
"1078",0.37,0.65,0.58,11,"5"
"1079",0.37,0.65,0.58,11,"5"
